node_id,label,tipo,descricao,cnpj,fonte
BANCO_MASTER,Banco Master,Instituição Financeira,"Centralizador das operações, captação de CDBs e originação de empréstimos.",33923798000100,ICL/Folha 2026-05-28
BANCO_CENTRAL,Banco Central (BC),Órgão Regulador,Órgão que investiga o esquema e identificou os fundos fraudulentos.,,ICL/Folha 2026-05-28
CVM,CVM,Órgão Regulador,"Comissão de Valores Mobiliários, registra fundos e cotistas.",,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,"Fundo ativo de R$ 5,4 bi que absorveu R$ 3,6 bi em créditos de má qualidade.",,ICL/Folha 2026-05-28
FUNDO_HANS_95,Fundo Hans 95,Fundo de Investimento,Fundo central na teia de fraudes do Banco Master.,,ICL/Folha 2026-05-28
FUNDO_ANNA,Fundo Anna,Fundo de Investimento,Um dos 6 fundos fraudulentos apontados pelo BC. Intermediário do Hans 95.,,ICL/Folha 2026-05-28
FUNDO_LANCIA,Fundo Lancia!,Fundo de Investimento,"FIDC da rede do Master, usado para reter dívidas da NGV SPE.",29786909000107,ICL/Folha 2026-05-28
MKS_SOLUCOES,MKS Soluções Integradas,Empresa,Uma das 36 empresas com empréstimos simulados; cotista do SDG II.,,ICL/Folha 2026-05-28
LORMONT_PART,Lormont Participações,Empresa,Empresa ligada a Nelson Tanure; recebeu R$ 553 milhões mapeados no fundo.,34263138000103,ICL/Folha 2026-05-28
BANVOX,Banvox,Empresa,Empresa ex-Maurício Quadrado; emitiu R$ 380 milhões em debêntures.,38461854000148,ICL/Folha 2026-05-28
DV_HOLDING,DV Holding,Empresa,Holding de Daniel Vorcaro que absorveu as debêntures da Banvox.,57445179000108,ICL/Folha 2026-05-28
SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,"Braço financeiro de Daniel Vorcaro, dona da casa de Brasília.",31446245000170,ICL/Folha 2026-05-28
NGV_SPE,NGV SPE,Empresa,Empresa ligada a Augusto Lima; emitiu R$ 30 mi em debêntures com prazos adiados.,,ICL/Folha 2026-05-28
DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,"Ex-banqueiro, figura central envolvida nas fraudes estruturadas.",,ICL/Folha 2026-05-28
NELSON_TANURE,Nelson Tanure,Pessoa Física,Empresário e investidor ligado à Lormont Participações.,,ICL/Folha 2026-05-28
MAURICIO_QUADRADO,Maurício Quadrado,Pessoa Física,Ex-sócio do Banco Master e ex-proprietário da Banvox.,,ICL/Folha 2026-05-28
AUGUSTO_LIMA,Augusto Lima,Pessoa Física,Ex-sócio do Banco Master e ligado à NGV SPE.,,ICL/Folha 2026-05-28
