id,source,target,tipo,detalhes,fonte
1,BANCO_MASTER,FUNDO_SDG_II,CESSAO_CREDITO,"Vendeu R$ 1,1 bilhão diretamente em direitos creditórios podres.",ICL/Folha 2026-05-28
2,FUNDO_SDG_II,FUNDO_ANNA,TEM_COTISTA,Fundo Anna é um dos dois únicos cotistas do SDG II.,ICL/Folha 2026-05-28
3,FUNDO_SDG_II,MKS_SOLUCOES,TEM_COTISTA,MKS é cotista direta do fundo SDG II.,ICL/Folha 2026-05-28
4,FUNDO_ANNA,FUNDO_HANS_95,CONTROLADO_POR,A participação do Hans 95 no SDG II ocorre por meio do fundo Anna.,ICL/Folha 2026-05-28
5,FUNDO_SDG_II,LORMONT_PART,CREDITO_A_RECEBER,Possui R$ 553 milhões em créditos a receber da Lormont.,ICL/Folha 2026-05-28
6,BANCO_MASTER,LORMONT_PART,CESSAO_CREDITO,Vendeu R$ 102 milhões em créditos vinculados à Lormont para o SDG II.,ICL/Folha 2026-05-28
7,NELSON_TANURE,LORMONT_PART,LIGADO_A,Empresário controlador ou fortemente associado à Lormont.,ICL/Folha 2026-05-28
8,MAURICIO_QUADRADO,BANVOX,EX_DONO,Era o proprietário da Banvox antes de sair do Banco Master.,ICL/Folha 2026-05-28
9,MAURICIO_QUADRADO,BANCO_MASTER,EX_SOCIO,Ex-sócio de Daniel Vorcaro no Banco Master.,ICL/Folha 2026-05-28
10,FUNDO_SDG_II,BANVOX,POSSUI_DEBENTURE,Carrega R$ 380 milhões em debêntures da Banvox.,ICL/Folha 2026-05-28
11,BANVOX,DV_HOLDING,TRANSFERENCIA_DIVIDA,Debêntures foram transferidas para a DV Holding na saída de Quadrado.,ICL/Folha 2026-05-28
12,DANIEL_VORCARO,DV_HOLDING,CONTROLADOR,Daniel Vorcaro é o proprietário da DV Holding.,ICL/Folha 2026-05-28
13,DANIEL_VORCARO,SUPER_EMPREENDIMENTOS,LIGADO_A,Super Empreendimentos funcionava como braço financeiro de Vorcaro.,ICL/Folha 2026-05-28
14,FUNDO_SDG_II,SUPER_EMPREENDIMENTOS,CREDITO_A_RECEBER,Possui R$ 22 milhões em créditos a receber da Super Empreendimentos.,ICL/Folha 2026-05-28
15,FUNDO_LANCIA,NGV_SPE,POSSUI_DEBENTURE,Possui duas debêntures da NGV SPE totalizando R$ 30 milhões.,ICL/Folha 2026-05-28
16,AUGUSTO_LIMA,NGV_SPE,LIGADO_A,Empresário ligado à NGV SPE.,ICL/Folha 2026-05-28
17,AUGUSTO_LIMA,BANCO_MASTER,EX_SOCIO,Ex-sócio de Daniel Vorcaro no Banco Master.,ICL/Folha 2026-05-28
18,NGV_SPE,FUNDO_LANCIA,PRORROGACAO_CONTRATUAL,Aditivos sucessivos (2020-2024) adiaram juros e principal para evitar inadimplência visível.,ICL/Folha 2026-05-28
19,BANCO_MASTER,MKS_SOLUCOES,EMPRESTIMO_SIMULADO,MKS realizou empréstimo simulado com o Master para alimentar o ciclo.,ICL/Folha 2026-05-28
20,BANCO_CENTRAL,BANCO_MASTER,INVESTIGA,Investiga fraudes contábeis e simulações de crédito do banco.,ICL/Folha 2026-05-28
21,BANCO_CENTRAL,FUNDO_ANNA,IDENTIFICOU_FRAUDE,Identificado como um dos 6 fundos fraudulentos no início das investigações.,ICL/Folha 2026-05-28
